

============================== EXP at 2026-05-03 01:29:48 ==============================
dev | avg_loss: 3.1082763671875 | {'exact_match': 0.0, 'rougeL': 7.2567} | threshold: 0.0
train | epoch   0 | Iter:    320/  3570 | global iter:    320/  3570 | loss: 3.9863 | ds_loss: 1.2987 | lr: 9.8033e-05 | scale:  2048.0000 | micro time: 2.586 | step time: 2.580
train | epoch   0 | Iter:    330/  3570 | global iter:    330/  3570 | loss: 3.9475 | ds_loss: 1.2845 | lr: 9.7909e-05 | scale:  2048.0000 | micro time: 2.598 | step time: 2.569
train | epoch   0 | Iter:    340/  3570 | global iter:    340/  3570 | loss: 3.8397 | ds_loss: 1.2477 | lr: 9.7781e-05 | scale:  2048.0000 | micro time: 2.576 | step time: 2.565
train | epoch   0 | Iter:    350/  3570 | global iter:    350/  3570 | loss: 3.9039 | ds_loss: 1.2762 | lr: 9.7649e-05 | scale:  2048.0000 | micro time: 2.585 | step time: 2.589
train | epoch   0 | Iter:    360/  3570 | global iter:    360/  3570 | loss: 3.8821 | ds_loss: 1.2739 | lr: 9.7514e-05 | scale:  2048.0000 | micro time: 2.163 | step time: 2.541
train | epoch   0 | Iter:    370/  3570 | global iter:    370/  3570 | loss: 3.8437 | ds_loss: 1.3073 | lr: 9.7376e-05 | scale:  2048.0000 | micro time: 2.584 | step time: 2.497
train | epoch   0 | Iter:    380/  3570 | global iter:    380/  3570 | loss: 3.8234 | ds_loss: 1.2786 | lr: 9.7233e-05 | scale:  2048.0000 | micro time: 2.590 | step time: 2.548
train | epoch   0 | Iter:    390/  3570 | global iter:    390/  3570 | loss: 3.9178 | ds_loss: 1.2822 | lr: 9.7087e-05 | scale:  2048.0000 | micro time: 2.583 | step time: 2.586
train | epoch   0 | Iter:    400/  3570 | global iter:    400/  3570 | loss: 3.8518 | ds_loss: 1.2550 | lr: 9.6937e-05 | scale:  2048.0000 | micro time: 2.578 | step time: 2.591
train | epoch   0 | Iter:    410/  3570 | global iter:    410/  3570 | loss: 3.8609 | ds_loss: 1.2684 | lr: 9.6784e-05 | scale:  2048.0000 | micro time: 2.490 | step time: 2.576
train | epoch   0 | Iter:    420/  3570 | global iter:    420/  3570 | loss: 3.8387 | ds_loss: 1.2970 | lr: 9.6627e-05 | scale:  2048.0000 | micro time: 1.890 | step time: 2.372
train | epoch   0 | Iter:    430/  3570 | global iter:    430/  3570 | loss: 3.7243 | ds_loss: 1.2295 | lr: 9.6466e-05 | scale:  2048.0000 | micro time: 2.576 | step time: 2.482
train | epoch   0 | Iter:    440/  3570 | global iter:    440/  3570 | loss: 3.7801 | ds_loss: 1.2414 | lr: 9.6302e-05 | scale:  2048.0000 | micro time: 2.479 | step time: 2.567
train | epoch   0 | Iter:    450/  3570 | global iter:    450/  3570 | loss: 3.7006 | ds_loss: 1.2023 | lr: 9.6134e-05 | scale:  2048.0000 | micro time: 2.577 | step time: 2.557
train | epoch   0 | Iter:    460/  3570 | global iter:    460/  3570 | loss: 3.9319 | ds_loss: 1.3279 | lr: 9.5963e-05 | scale:  2048.0000 | micro time: 2.608 | step time: 2.571
train | epoch   0 | Iter:    470/  3570 | global iter:    470/  3570 | loss: 3.8035 | ds_loss: 1.2489 | lr: 9.5788e-05 | scale:  2048.0000 | micro time: 2.622 | step time: 2.584
