

============================== EXP at 2026-04-30 13:36:45 ==============================


============================== EXP at 2026-04-30 13:37:33 ==============================


============================== EXP at 2026-04-30 13:39:34 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   0 | Iter:    638/  7140 | global iter:    320/  3570 | loss: -0.2604 | ds_loss: -0.3367 | lr: 4.9022e-04 | scale:  2048.0000 | micro time: 0.711 | step time: 1.411
train | epoch   0 | Iter:    658/  7140 | global iter:    330/  3570 | loss: -0.1902 | ds_loss: -0.2712 | lr: 4.8960e-04 | scale:  2048.0000 | micro time: 0.718 | step time: 1.428
train | epoch   0 | Iter:    678/  7140 | global iter:    340/  3570 | loss: -0.2921 | ds_loss: -0.3652 | lr: 4.8896e-04 | scale:  2048.0000 | micro time: 0.708 | step time: 1.410
train | epoch   0 | Iter:    698/  7140 | global iter:    350/  3570 | loss: -0.2456 | ds_loss: -0.3220 | lr: 4.8830e-04 | scale:  2048.0000 | micro time: 0.738 | step time: 1.407
train | epoch   0 | Iter:    718/  7140 | global iter:    360/  3570 | loss: -0.2363 | ds_loss: -0.3116 | lr: 4.8763e-04 | scale:  2048.0000 | micro time: 0.707 | step time: 1.434
train | epoch   0 | Iter:    738/  7140 | global iter:    370/  3570 | loss: -0.2741 | ds_loss: -0.3472 | lr: 4.8694e-04 | scale:  2048.0000 | micro time: 0.727 | step time: 1.410
train | epoch   0 | Iter:    758/  7140 | global iter:    380/  3570 | loss: -0.2450 | ds_loss: -0.3103 | lr: 4.8623e-04 | scale:  2048.0000 | micro time: 0.726 | step time: 1.389
train | epoch   0 | Iter:    778/  7140 | global iter:    390/  3570 | loss: -0.3054 | ds_loss: -0.3779 | lr: 4.8550e-04 | scale:  2048.0000 | micro time: 0.699 | step time: 1.444
train | epoch   0 | Iter:    798/  7140 | global iter:    400/  3570 | loss: -0.2972 | ds_loss: -0.3736 | lr: 4.8475e-04 | scale:  2048.0000 | micro time: 0.733 | step time: 1.458
train | epoch   0 | Iter:    818/  7140 | global iter:    410/  3570 | loss: -0.3144 | ds_loss: -0.3879 | lr: 4.8398e-04 | scale:  2048.0000 | micro time: 0.724 | step time: 1.426
train | epoch   0 | Iter:    838/  7140 | global iter:    420/  3570 | loss: -0.3266 | ds_loss: -0.3991 | lr: 4.8320e-04 | scale:  2048.0000 | micro time: 0.765 | step time: 1.447
train | epoch   0 | Iter:    858/  7140 | global iter:    430/  3570 | loss: -0.3056 | ds_loss: -0.3839 | lr: 4.8240e-04 | scale:  2048.0000 | micro time: 0.717 | step time: 1.454
train | epoch   0 | Iter:    878/  7140 | global iter:    440/  3570 | loss: -0.2048 | ds_loss: -0.2792 | lr: 4.8158e-04 | scale:  2048.0000 | micro time: 0.714 | step time: 1.422
