

============================== EXP at 2026-04-29 10:53:27 ==============================


============================== EXP at 2026-04-29 13:42:13 ==============================
dev | avg_loss: 3.1082763671875 | {'exact_match': 0.0, 'rougeL': 7.2567} | threshold: 0.0
train | epoch   0 | Iter:    320/  3570 | global iter:    320/  3570 | loss: 1.3445 | ds_loss: 1.2428 | lr: 4.9017e-05 | scale:  2048.0000 | micro time: 0.907 | step time: 0.892
train | epoch   0 | Iter:    330/  3570 | global iter:    330/  3570 | loss: 1.3214 | ds_loss: 1.2230 | lr: 4.8955e-05 | scale:  2048.0000 | micro time: 0.896 | step time: 0.879
train | epoch   0 | Iter:    340/  3570 | global iter:    340/  3570 | loss: 1.2836 | ds_loss: 1.1880 | lr: 4.8892e-05 | scale:  2048.0000 | micro time: 0.895 | step time: 0.889
train | epoch   0 | Iter:    350/  3570 | global iter:    350/  3570 | loss: 1.3085 | ds_loss: 1.2153 | lr: 4.8826e-05 | scale:  2048.0000 | micro time: 0.862 | step time: 0.887
train | epoch   0 | Iter:    360/  3570 | global iter:    360/  3570 | loss: 1.3101 | ds_loss: 1.2117 | lr: 4.8758e-05 | scale:  2048.0000 | micro time: 0.885 | step time: 0.901
train | epoch   0 | Iter:    370/  3570 | global iter:    370/  3570 | loss: 1.3417 | ds_loss: 1.2505 | lr: 4.8689e-05 | scale:  2048.0000 | micro time: 0.924 | step time: 0.881
train | epoch   0 | Iter:    380/  3570 | global iter:    380/  3570 | loss: 1.3138 | ds_loss: 1.2230 | lr: 4.8618e-05 | scale:  2048.0000 | micro time: 0.882 | step time: 0.878
train | epoch   0 | Iter:    390/  3570 | global iter:    390/  3570 | loss: 1.3114 | ds_loss: 1.2129 | lr: 4.8545e-05 | scale:  2048.0000 | micro time: 0.893 | step time: 0.893
train | epoch   0 | Iter:    400/  3570 | global iter:    400/  3570 | loss: 1.2820 | ds_loss: 1.1896 | lr: 4.8470e-05 | scale:  2048.0000 | micro time: 0.888 | step time: 0.886
train | epoch   0 | Iter:    410/  3570 | global iter:    410/  3570 | loss: 1.2997 | ds_loss: 1.2064 | lr: 4.8394e-05 | scale:  2048.0000 | micro time: 0.884 | step time: 0.886
train | epoch   0 | Iter:    420/  3570 | global iter:    420/  3570 | loss: 1.3242 | ds_loss: 1.2331 | lr: 4.8315e-05 | scale:  2048.0000 | micro time: 0.855 | step time: 0.871
train | epoch   0 | Iter:    430/  3570 | global iter:    430/  3570 | loss: 1.2668 | ds_loss: 1.1780 | lr: 4.8235e-05 | scale:  2048.0000 | micro time: 0.860 | step time: 0.876
train | epoch   0 | Iter:    440/  3570 | global iter:    440/  3570 | loss: 1.2707 | ds_loss: 1.1822 | lr: 4.8153e-05 | scale:  2048.0000 | micro time: 0.852 | step time: 0.883
train | epoch   0 | Iter:    450/  3570 | global iter:    450/  3570 | loss: 1.2237 | ds_loss: 1.1362 | lr: 4.8069e-05 | scale:  2048.0000 | micro time: 0.891 | step time: 0.870
train | epoch   0 | Iter:    460/  3570 | global iter:    460/  3570 | loss: 1.3557 | ds_loss: 1.2636 | lr: 4.7984e-05 | scale:  2048.0000 | micro time: 0.865 | step time: 0.878
train | epoch   0 | Iter:    470/  3570 | global iter:    470/  3570 | loss: 1.2817 | ds_loss: 1.1899 | lr: 4.7896e-05 | scale:  2048.0000 | micro time: 0.904 | step time: 0.897
train | epoch   0 | Iter:    480/  3570 | global iter:    480/  3570 | loss: 1.3375 | ds_loss: 1.2472 | lr: 4.7807e-05 | scale:  2048.0000 | micro time: 0.872 | step time: 0.882
train | epoch   0 | Iter:    490/  3570 | global iter:    490/  3570 | loss: 1.3105 | ds_loss: 1.2214 | lr: 4.7716e-05 | scale:  2048.0000 | micro time: 0.888 | step time: 0.882
train | epoch   0 | Iter:    500/  3570 | global iter:    500/  3570 | loss: 1.2971 | ds_loss: 1.2092 | lr: 4.7624e-05 | scale:  2048.0000 | micro time: 0.869 | step time: 0.893
train | epoch   0 | Iter:    510/  3570 | global iter:    510/  3570 | loss: 1.2460 | ds_loss: 1.1577 | lr: 4.7529e-05 | scale:  2048.0000 | micro time: 0.875 | step time: 0.886
train | epoch   0 | Iter:    520/  3570 | global iter:    520/  3570 | loss: 1.3201 | ds_loss: 1.2339 | lr: 4.7433e-05 | scale:  2048.0000 | micro time: 0.884 | step time: 0.884
train | epoch   0 | Iter:    530/  3570 | global iter:    530/  3570 | loss: 1.3312 | ds_loss: 1.2396 | lr: 4.7335e-05 | scale:  2048.0000 | micro time: 0.901 | step time: 0.900
train | epoch   0 | Iter:    540/  3570 | global iter:    540/  3570 | loss: 1.3081 | ds_loss: 1.2174 | lr: 4.7236e-05 | scale:  2048.0000 | micro time: 0.916 | step time: 0.906
train | epoch   0 | Iter:    550/  3570 | global iter:    550/  3570 | loss: 1.2733 | ds_loss: 1.1865 | lr: 4.7134e-05 | scale:  2048.0000 | micro time: 0.887 | step time: 0.884
train | epoch   0 | Iter:    560/  3570 | global iter:    560/  3570 | loss: 1.3443 | ds_loss: 1.2572 | lr: 4.7031e-05 | scale:  2048.0000 | micro time: 0.896 | step time: 0.891
train | epoch   0 | Iter:    570/  3570 | global iter:    570/  3570 | loss: 1.3418 | ds_loss: 1.2528 | lr: 4.6927e-05 | scale:  2048.0000 | micro time: 0.914 | step time: 0.902
