Ngo

============================== EXP at 2026-05-02 16:03:14 ==============================
dev | avg_loss: 2.201904296875 | {'exact_match': 0.1, 'rougeL': 14.5842} | threshold: 0.0
train | epoch   0 | Iter:    638/  3570 | global iter:    320/  1785 | loss: 1.1604 | ds_loss: 1.1005 | lr: 9.2332e-05 | scale:  2048.0000 | micro time: 1.939 | step time: 3.510
train | epoch   0 | Iter:    658/  3570 | global iter:    330/  1785 | loss: 1.2329 | ds_loss: 1.1735 | lr: 9.1858e-05 | scale:  2048.0000 | micro time: 1.865 | step time: 3.512
train | epoch   0 | Iter:    678/  3570 | global iter:    340/  1785 | loss: 1.1994 | ds_loss: 1.1399 | lr: 9.1370e-05 | scale:  2048.0000 | micro time: 2.003 | step time: 3.604
train | epoch   0 | Iter:    698/  3570 | global iter:    350/  1785 | loss: 1.2118 | ds_loss: 1.1532 | lr: 9.0870e-05 | scale:  2048.0000 | micro time: 2.070 | step time: 3.597
dev | avg_loss: 4.37060546875 | {'exact_match': 3.3, 'rougeL': 23.8351} | threshold: 0.0
train | epoch   1 | Iter:    718/  3570 | global iter:    360/  1785 | loss: 1.1212 | ds_loss: 1.0636 | lr: 9.0357e-05 | scale:  2048.0000 | micro time: 6.402 | step time: 4.502
train | epoch   1 | Iter:    738/  3570 | global iter:    370/  1785 | loss: 0.9967 | ds_loss: 0.9395 | lr: 8.9831e-05 | scale:  2048.0000 | micro time: 2.050 | step time: 4.677
train | epoch   1 | Iter:    758/  3570 | global iter:    380/  1785 | loss: 1.0256 | ds_loss: 0.9692 | lr: 8.9294e-05 | scale:  2048.0000 | micro time: 6.454 | step time: 4.447
train | epoch   1 | Iter:    778/  3570 | global iter:    390/  1785 | loss: 1.0036 | ds_loss: 0.9469 | lr: 8.8744e-05 | scale:  2048.0000 | micro time: 2.032 | step time: 4.654
train | epoch   1 | Iter:    798/  3570 | global iter:    400/  1785 | loss: 1.0278 | ds_loss: 0.9697 | lr: 8.8182e-05 | scale:  2048.0000 | micro time: 2.025 | step time: 5.369
train | epoch   1 | Iter:    818/  3570 | global iter:    410/  1785 | loss: 1.0278 | ds_loss: 0.9731 | lr: 8.7608e-05 | scale:  2048.0000 | micro time: 2.090 | step time: 3.591
train | epoch   1 | Iter:    838/  3570 | global iter:    420/  1785 | loss: 1.0073 | ds_loss: 0.9520 | lr: 8.7023e-05 | scale:  2048.0000 | micro time: 2.079 | step time: 5.010
train | epoch   1 | Iter:    858/  3570 | global iter:    430/  1785 | loss: 0.9945 | ds_loss: 0.9383 | lr: 8.6426e-05 | scale:  2048.0000 | micro time: 2.052 | step time: 6.357
train | epoch   1 | Iter:    878/  3570 | global iter:    440/  1785 | loss: 1.0025 | ds_loss: 0.9478 | lr: 8.5818e-05 | scale:  2048.0000 | micro time: 2.068 | step time: 4.905
train | epoch   1 | Iter:    898/  3570 | global iter:    450/  1785 | loss: 1.0537 | ds_loss: 0.9981 | lr: 8.5199e-05 | scale:  2048.0000 | micro time: 2.032 | step time: 5.791
train | epoch   1 | Iter:    918/  3570 | global iter:    460/  1785 | loss: 0.9949 | ds_loss: 0.9384 | lr: 8.4569e-05 | scale:  2048.0000 | micro time: 1.894 | step time: 5.650
train | epoch   1 | Iter:    938/  3570 | global iter:    470/  1785 | loss: 1.0000 | ds_loss: 0.9455 | lr: 8.3928e-05 | scale:  2048.0000 | micro time: 2.011 | step time: 4.847
train | epoch   1 | Iter:    958/  3570 | global iter:    480/  1785 | loss: 0.9714 | ds_loss: 0.9169 | lr: 8.3277e-05 | scale:  2048.0000 | micro time: 5.523 | step time: 4.678
train | epoch   1 | Iter:    978/  3570 | global iter:    490/  1785 | loss: 0.9731 | ds_loss: 0.9187 | lr: 8.2615e-05 | scale:  2048.0000 | micro time: 5.872 | step time: 4.667
train | epoch   1 | Iter:    998/  3570 | global iter:    500/  1785 | loss: 1.0554 | ds_loss: 0.9981 | lr: 8.1943e-05 | scale:  2048.0000 | micro time: 1.680 | step time: 3.560
train | epoch   1 | Iter:   1018/  3570 | global iter:    510/  1785 | loss: 0.9765 | ds_loss: 0.9210 | lr: 8.1262e-05 | scale:  2048.0000 | micro time: 1.729 | step time: 4.249
train | epoch   1 | Iter:   1038/  3570 | global iter:    520/  1785 | loss: 1.0043 | ds_loss: 0.9489 | lr: 8.0571e-05 | scale:  2048.0000 | micro time: 5.779 | step time: 4.680
train | epoch   1 | Iter:   1058/  3570 | global iter:    530/  1785 | loss: 0.9495 | ds_loss: 0.8971 | lr: 7.9870e-05 | scale:  2048.0000 | micro time: 1.695 | step time: 5.275
train | epoch   1 | Iter:   1078/  3570 | global iter:    540/  1785 | loss: 1.0500 | ds_loss: 0.9955 | lr: 7.9160e-05 | scale:  2048.0000 | micro time: 1.805 | step time: 4.146
train | epoch   1 | Iter:   1098/  3570 | global iter:    550/  1785 | loss: 1.0151 | ds_loss: 0.9615 | lr: 7.8442e-05 | scale:  2048.0000 | micro time: 1.685 | step time: 3.929
train | epoch   1 | Iter:   1118/  3570 | global iter:    560/  1785 | loss: 1.0311 | ds_loss: 0.9773 | lr: 7.7714e-05 | scale:  2048.0000 | micro time: 1.786 | step time: 3.924
train | epoch   1 | Iter:   1138/  3570 | global iter:    570/  1785 | loss: 1.0385 | ds_loss: 0.9837 | lr: 7.6978e-05 | scale:  2048.0000 | micro time: 1.717 | step time: 4.197
